starred;authors;titleofpublication;typeofcontribution;conference;acronym;location;yearofpublication;dates;doiorwebaddress;presented;isse;issec;isai;report
0;Daniel Hanspeter, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Semi-automatic requirement tracing in modified code: An Eclipse Plugin;Tool demonstration;18th International Conference on Distributed Multimedia Systems;DMS;Miami Beach, FL, USA;2012;August 9--11;;0;1;;1;0
0;Luis Corral, Andrea Janes, \& Tadas Remencius;Potential advantages and disadvantages of multiplatform development frameworks – A vision on mobile environments;Workshop paper;International Workshop on Service Discovery and Composition in Ubiquitous and Pervasive Environments;SUPE;Niagara Falls, Ontario, Canada;2012;August 27--29;;0;1;;;0
0;Andrea Janes \& Giancarlo Succi;The Dark Side of Agile Software Development;Conference paper;ACM international symposium on New ideas, new paradigms, and reflections on programming and software;SPLASH;Tucson, AZ, USA;2012;October 19--26;https://doi.org/10.1145/2384592.2384612;1;1;;;0
0;Ilenia Fronza, Andrea Janes, Alberto Sillitti, Giancarlo Succi, \& Stefano Trebeschi;Cooperation wordle using pre-attentive processing techniques;Workshop paper;International Workshop on Cooperative and Human Aspects of Software Engineering;CHASE;San Francisco, CA, USA;2013;May 25;https://doi.org/10.1109/CHASE.2013.6614732;1;1;;1;0
0;Saulius Astromskis, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Supporting CMMI assessment using distributed, non-invasive measurement and process mining;Conference paper;19th International Conference on Distributed Multimedia Systems;DMS;Brighton, UK;2013;August 8--10;;1;1;;1;0
0;Marko Gasparic, Andrea Janes, Marjan Hericko, \& Giancarlo Succi;Metrics based recommendation system for software engineering;Conference paper;Information Society multiconference on Collaboration, Software and Services in Information Society;CSS;Ljubljana, Slovenia;2013;October 7--11;;0;1;;1;0
0;Saulius Astromskis, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;Andon for dentists;Conference paper;25th International Conference on Software Engineering and Knowledge Engineering;SEKE;Boston, MA, USA;2013;June 27--29;;1;1;;;0
0;Andrea Janes, Danila Piatov, Alberto Sillitti, \& Giancarlo Succi;How to calculate software metrics for multiple languages using Open Source parsers;Conference paper;9th IFIP WG 2.13 International Conference on Open Source Software;OSS;Koper-Capodistria, Slovenia;2013;June 25--28;https://doi.org/10.1007/978-3-642-38928-3\_20;0;1;;;0
0;Andrea Janes, Sarunas Marciuska, Alessandro Sarcià, \& Giancarlo Succi;Domain Analysis in Combination with Extreme Programming to Address Requirements Volatility Problems;Conference paper;International Conference on Software Engineering and Knowledge Engineering;SEKE;Boston, MA, USA;2013;June 27--29;;1;1;;;0
0;Andrea Janes \& Giancarlo Succi;The Dark Side of Agile Software Development, First results;Conference paper;Anwenderkonferenz für Softwarequalität, Test und Innovation;ASQT;Graz, Austria;2013;September 19--20;;1;1;;;0
0;Ilenia Fronza, Nabil El Ioini, Andrea Janes, Alberto Sillitti, Giancarlo Succi, \& Luis Ricardo Corral Velazquez;Se dovessi dare un voto a questo laboratorio, darei nove -- Introduzione del Computational Thinking nella scuola secondaria di primo grado: risultati dell'esperienza;Conference paper;28th edition of DIDAttica inforMATICA, Nuovi processi e paradigmi per la didattica;DIDAMATICA;Napoli, Italy;2014;May 7--9;;0;;;;0
0;Andrea Janes, Tadas Remencius, Alberto Sillitti, \& Giancarlo Succi;Towards Understanding of Structural Attributes of Web APIs Using Metrics Based on API Call Responses;Conference paper;10th IFIP WG 2.13 International Conference on Open Source Software;OSS;San José, Costa Rica;2014;May 6--9;https://doi.org/10.1007/978-3-642-55128-4;0;1;;;0
0;Saulius Astromskis, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;An Approach to Non-Invasive Cost Accounting;Conference paper;40th Euromicro Conference on Software Engineering and Advanced Applications;EUROMICRO;Verona, Italy;2014;August 27--29;https://doi.org/10.1109/SEAA.2014.53;1;1;;;0
0;Saulius Astromskis, Andrea Janes, \& Michel Mairegger;A Process Mining Approach to Measure How Users Interact with Software: An Industrial Case Study;Conference paper;11th International Conference on Software and Systems Process;ICSSP;Talinn, Estonia;2015;August 24--26;https://doi.org/10.1145/2785592.2785612;1;1;;1;0
0;Marko Gasparic, Andrea Janes, Alberto Sillitti, \& Giancarlo Succi;An analysis of a project reuse approach in an industrial setting;Conference paper;14th International Conference on Software Reuse;ICSR;Miami, FL, USA;2015;January 4--6;https://doi.org/10.1007/978-3-319-14130-5\_12;0;1;;;0
0;Luis Corral, Anton B. Georgiev, Andrea Janes, \& Stefan Kofler;Energy-Aware Performance Evaluation of Android Custom Kernels;Workshop paper;4th IEEE/ACM International Workshop on Green and Sustainable Software;GREENS;Florence, Italy;2015;May 18;https://doi.org/10.1109/GREENS.2015.8;1;1;;;0
0;Andrea Janes;A Guide to Lean Software Development in Action;Conference paper;Anwenderkonferenz für Softwarequalität, Test und Innovation;ASQT;Graz, Austria;2015;April 16--17;https://doi.org/10.1109/ICSTW.2015.7107412;1;1;;;0
0;Andrea Janes;Squirrel: an architecture for the systematic collection of software development data in microenterprises to support Lean Software Development;Poster;11th International Conference on Software and Systems Process;ICSSP;Talinn, Estonia;2015;August 24--26;https://doi.org/10.1145/2785592.2794404;1;1;;;0
0;Davide Taibi, Andrea Janes, \& Valentina Lenarduzzi;Towards a Lean Approach to Reduce Code Smells Injection: An Empirical Study;Conference paper;17th International Conference in Software Engineering, and Extreme Programming;XP;Edinburgh, UK;2016;May 24--27;https://doi.org/10.1007/978-3-319-33515-5\_30;1;1;;;0
0;Marko Gasparic, Andrea Janes, \& Francesco Ricci;Development Tools Usage Inside Out;Conference paper;17th International Conference in Software Engineering, and Extreme Programming;XP;Edinburgh, UK;2016;May 24--27;https://doi.org/10.1007/978-3-319-33515-5\_28;1;1;;;0
0;Luis Corral, Ilenia Fronza, Nabil El Ioini, Andrea Janes, \& Peter Plant;Preserving energy resources using an Android kernel extension: a case study;Conference paper;International Conference on Mobile Software Engineering and Systems;MOBILESoft;Austin, TX, USA;2016;May 16--17;https://doi.org/10.1145/2897073.2897124;0;1;;;0
0;Luis Corral, Ilenia Fronza, Nabil El Ioini, Andrea Janes, \& Peter Plant;An Android Kernel Extension to Save Energy Resources Without Impacting User Experience;Conference paper;13th International Conference on Mobile Web and Intelligent Information Systems;MobiWIS;Vienna, Austria;2016;August 22--24;https://doi.org/10.1007/978-3-319-44215-0\_1;0;1;;;0
0;Marko Gasparic, Andrea Janes, Francesco Ricci, \& Marco Zanellati;GUI Design for IDE Command Recommendations;Conference paper;22nd International Conference on Intelligent User Interfaces;IUI;Limassol, Cyprus;2017;March 13--16;https://doi.org/10.1145/3025171.3025200;0;1;;1;0
0;Andrea Janes;Test Case Generation and Prioritization: A Process-Mining Approach;Workshop paper;IEEE International Conference on Software Testing, Verification and Validation Workshops;ICSTW;Tokyo;2017;March 13--17;https://doi.org/10.1109/ICSTW.2017.11;1;1;1;1;0
1;Daniele Gadler, Michael Mairegger, Andrea Janes, \& Barbara Russo;Mining Logs to Model the Use of a System;Conference paper;ACM/IEEE International Symposium on Empirical Software Engineering and Measurement;ESEM;Toronto, ON, Canada;2017;November 9--10;https://doi.org/10.1109/ESEM.2017.47;0;1;1;1;0
0;Andrea Janes, Fabrizio Maria Maggi, Andrea Marrella, \& Marco Montali;From Zero to Hero: A Process Mining Tutorial;Tutorial;18th International Conference on Product-Focused Software Process Improvement;PROFES;Innsbruck, Austria;2017;November 29-–December 1;https://doi.org/10.1007/978-3-319-69926-4\_55;1;1;1;1;0
0;Andrea Janes, Valentina Lenarduzzi, \& Alexandru Cristian Stan;A Continuous Software Quality Monitoring Approach for Small and Medium Enterprises;Conference paper;8th ACM/SPEC on International Conference on Performance Engineering;ICPE;L'Aquila, Italy;2017;April 22--26;https://doi.org/10.1145/3053600.3053618;1;1;;;0
0;Katsiaryna Labunets, Andrea Janes, Michael Felderer, \& Fabio Massacci;Teaching predictive modeling to junior software engineers - seminar format and its evaluation: poster;Poster;39th International Conference on Software Engineering;ICSE;Buenos Aires, Argentina;2017;May 20--28;https://doi.org/10.1109/ICSE-C.2017.62;0;;;;0
